Dato;Runde;Liga;Hjemmelag;Resultat;Bortelag;Kanal
14.09.2015;3. runde;Serie A;Sampdoria;2 - 0;Bologna;
18.09.2015;24. runde;Tippeligaen;Viking;1 - 1;Strømsgodset;TV 2 Zebra
18.09.2015;5. runde;Bundesliga;Mainz;3 - 1;Hoffenheim;Eurosport 2
19.09.2015;24. runde;Tippeligaen;Start;0 - 0;Lillestrøm;C More Fotball
19.09.2015;24. runde;Tippeligaen;Stabæk;2 - 1;Tromsø;C More Fotball
19.09.2015;6. runde;Premier League;Chelsea;2 - 0;Arsenal;TV 2 Sport Premium
19.09.2015;6. runde;Premier League;Aston Villa;0 - 1;West Bromwich;TV 2 Sport Premium
19.09.2015;6. runde;Premier League;Stoke;2 - 2;Leicester;Opptak SP kl. 21.30
19.09.2015;6. runde;Premier League;Bournemouth;2 - 0;Sunderland;Opptak SP 2 kl. 20.30
19.09.2015;6. runde;Premier League;Swansea;0 - 0;Everton;Opptak SP 2 kl. 22.30
19.09.2015;6. runde;Premier League;Newcastle;1 - 2;Watford;Opptak SP 3 kl. 20.30
19.09.2015;6. runde;Premier League;Man. City;1 - 2;West Ham;TV 2 Sport Premium
19.09.2015;4. runde;Serie A;Udinese;1 - 2;Empoli;
19.09.2015;4. runde;Serie A;Milan;3 - 2;Palermo;
19.09.2015;5. runde;Bundesliga;Darmstadt;0 - 3;Bayern;Eurosport
19.09.2015;5. runde;Bundesliga;Bremen;0 - 1;Ingolstadt;
19.09.2015;5. runde;Bundesliga;Hamburg;0 - 0;Eintracht Frankfurt;
19.09.2015;5. runde;Bundesliga;Köln;1 - 0;Mönchengladbach;
19.09.2015;5. runde;Bundesliga;Wolfsburg;2 - 0;Hertha;
20.09.2015;24. runde;Tippeligaen;Aalesund;1 - 3;Odd;C More Fotball
20.09.2015;24. runde;Tippeligaen;Molde;1 - 0;Rosenborg;C More Fotball
20.09.2015;24. runde;Tippeligaen;Haugesund;1 - 1;Sarpsborg 08;C More Live
20.09.2015;24. runde;Tippeligaen;Bodø/Glimt;2 - 1;Sandefjord;C More Live 2
20.09.2015;24. runde;Tippeligaen;Mjøndalen;0 - 1;Vålerenga;TV 2 Zebra
20.09.2015;6. runde;Premier League;Tottenham;1 - 0;Crystal Palace;TV 2 Sport Premium
20.09.2015;6. runde;Premier League;Southampton;2 - 3;Man. United;TV 2 Sport Premium
20.09.2015;6. runde;Premier League;Liverpool;1 - 1;Norwich;TV 2 Sport Premium 2
20.09.2015;24. runde;OBOS-ligaen;Kristiansund BK;1 - 1;Follo;TV 2 Sumo
20.09.2015;24. runde;OBOS-ligaen;Nest-Sotra;2 - 3;Sandnes Ulf;TV 2 Sumo
20.09.2015;24. runde;OBOS-ligaen;Åsane;5 - 0;Bærum;TV 2 Sumo
20.09.2015;24. runde;OBOS-ligaen;Strømmen;0 - 1;Jerv;TV 2 Sumo
20.09.2015;24. runde;OBOS-ligaen;Fredrikstad;2 - 0;Bryne;TV 2 Sumo
20.09.2015;24. runde;OBOS-ligaen;Hønefoss;3 - 0;Levanger;TV 2 Sumo
20.09.2015;24. runde;OBOS-ligaen;Kristiansund BK;1 - 1;Follo;TV 2 Sumo
20.09.2015;24. runde;OBOS-ligaen;Nest-Sotra;2 - 3;Sandnes Ulf;TV 2 Sumo
20.09.2015;24. runde;OBOS-ligaen;Åsane;5 - 0;Bærum;TV 2 Sumo
20.09.2015;24. runde;OBOS-ligaen;Strømmen;0 - 1;Jerv;TV 2 Sumo
20.09.2015;24. runde;OBOS-ligaen;Fredrikstad;2 - 0;Bryne;TV 2 Sumo
20.09.2015;24. runde;OBOS-ligaen;Hønefoss;3 - 0;Levanger;TV 2 Sumo
20.09.2015;4. runde;Serie A;Chievo;0 - 1;Inter;
20.09.2015;4. runde;Serie A;Atalanta;1 - 1;Verona;
20.09.2015;4. runde;Serie A;Bologna;1 - 0;Frosinone;
20.09.2015;4. runde;Serie A;Genoa;0 - 2;Juventus;
20.09.2015;4. runde;Serie A;Roma;2 - 2;Sassuolo;
20.09.2015;4. runde;Serie A;Torino;2 - 0;Sampdoria;
20.09.2015;4. runde;Serie A;Carpi;0 - 1;Fiorentina;
20.09.2015;4. runde;Serie A;Napoli;5 - 0;Lazio;
20.09.2015;5. runde;Bundesliga;Stuttgart;0 - 1;Schalke;Eurosport
20.09.2015;5. runde;Bundesliga;Dortmund;3 - 0;Leverkusen;Eurosport 2
20.09.2015;5. runde;Bundesliga;Augsburg;2 - 0;Hannover;
21.09.2015;24. runde;OBOS-ligaen;Hødd;1 - 0;Sogndal;TV 2 Zebra
21.09.2015;24. runde;OBOS-ligaen;Ranheim;0 - 0;Brann;C More Fotball
21.09.2015;24. runde;OBOS-ligaen;Hødd;1 - 0;Sogndal;TV 2 Zebra
21.09.2015;24. runde;OBOS-ligaen;Ranheim;0 - 0;Brann;C More Fotball
22.09.2015;5. runde;Serie A;Udinese;2 - 3;Milan;
22.09.2015;6. runde;Bundesliga;Bayern;5 - 1;Wolfsburg;Eurosport
22.09.2015;6. runde;Bundesliga;Darmstadt;2 - 1;Bremen;
22.09.2015;6. runde;Bundesliga;Hertha;2 - 0;Köln;
22.09.2015;6. runde;Bundesliga;Ingolstadt;0 - 1;Hamburg;
23.09.2015;17. runde;Tippeligaen;Strømsgodset;1 - 0;Molde;C More Fotball
23.09.2015;5. runde;Serie A;Carpi;0 - 0;Napoli;
23.09.2015;5. runde;Serie A;Chievo;1 - 0;Torino;
23.09.2015;5. runde;Serie A;Fiorentina;2 - 0;Bologna;
23.09.2015;5. runde;Serie A;Inter;1 - 0;Verona;
23.09.2015;5. runde;Serie A;Juventus;1 - 1;Frosinone;
23.09.2015;5. runde;Serie A;Lazio;2 - 0;Genoa;
23.09.2015;5. runde;Serie A;Palermo;0 - 1;Sassuolo;
23.09.2015;5. runde;Serie A;Sampdoria;2 - 1;Roma;
23.09.2015;6. runde;Bundesliga;Hoffenheim;1 - 1;Dortmund;Eurosport 2
23.09.2015;6. runde;Bundesliga;Hannover;1 - 3;Stuttgart;
23.09.2015;6. runde;Bundesliga;Leverkusen;1 - 0;Mainz;
23.09.2015;6. runde;Bundesliga;Mönchengladbach;4 - 2;Augsburg;
23.09.2015;6. runde;Bundesliga;Schalke;2 - 0;Eintracht Frankfurt;
24.09.2015;5. runde;Serie A;Empoli;0 - 1;Atalanta;
25.09.2015;25. runde;Tippeligaen;Vålerenga;1 - 1;Start;TV 2 Zebra
25.09.2015;7. runde;Bundesliga;Köln;1 - 1;Ingolstadt;Eurosport 2
26.09.2015;25. runde;Tippeligaen;Lillestrøm;3 - 0;Mjøndalen;C More Fotball
26.09.2015;25. runde;Tippeligaen;Strømsgodset;3 - 1;Bodø/Glimt;C More Fotball
26.09.2015;7. runde;Premier League;Tottenham;4 - 1;Man. City;TV 2 Sport Premium
26.09.2015;7. runde;Premier League;Man. United;3 - 0;Sunderland;TV 2 Sport Premium
26.09.2015;7. runde;Premier League;Stoke;2 - 1;Bournemouth;Opptak SP kl. 21.30
26.09.2015;7. runde;Premier League;Liverpool;3 - 2;Aston Villa;Opptak SP 2 kl. 20.30
26.09.2015;7. runde;Premier League;Southampton;3 - 1;Swansea;Opptak SP 2 kl. 22.30
26.09.2015;7. runde;Premier League;Leicester;2 - 5;Arsenal;Opptak SP 3 kl. 20.30
26.09.2015;7. runde;Premier League;West Ham;2 - 2;Norwich;Opptak SP 3 kl. 22.30
26.09.2015;7. runde;Premier League;Newcastle;2 - 2;Chelsea;TV 2 Sport Premium
26.09.2015;6. runde;Serie A;Roma;5 - 1;Carpi;
26.09.2015;6. runde;Serie A;Napoli;2 - 1;Juventus;
26.09.2015;7. runde;Bundesliga;Mainz;0 - 3;Bayern;Eurosport 2
26.09.2015;7. runde;Bundesliga;Augsburg;1 - 3;Hoffenheim;
26.09.2015;7. runde;Bundesliga;Bremen;0 - 3;Leverkusen;
26.09.2015;7. runde;Bundesliga;Stuttgart;1 - 3;Mönchengladbach;
26.09.2015;7. runde;Bundesliga;Wolfsburg;1 - 1;Hannover;
26.09.2015;7. runde;Bundesliga;Hamburg;0 - 1;Schalke;Eurosport 2
27.09.2015;25. runde;Tippeligaen;Odd;1 - 1;Sarpsborg 08;C More Fotball
27.09.2015;25. runde;Tippeligaen;Rosenborg;2 - 0;Viking;C More Fotball
27.09.2015;25. runde;Tippeligaen;Sandefjord;0 - 1;Haugesund;C More Live
27.09.2015;25. runde;Tippeligaen;Tromsø;1 - 1;Aalesund;C More Live 2
27.09.2015;25. runde;Tippeligaen;Stabæk;1 - 0;Molde;TV 2 Zebra
27.09.2015;7. runde;Premier League;Watford;0 - 1;Crystal Palace;TV 2 Sport Premium
27.09.2015;25. runde;OBOS-ligaen;Bærum;5 - 2;Nest-Sotra;TV 2 Sumo
27.09.2015;25. runde;OBOS-ligaen;Follo;2 - 3;Fredrikstad;TV 2 Sumo
27.09.2015;25. runde;OBOS-ligaen;Jerv;0 - 1;Kristiansund BK;TV 2 Sumo
27.09.2015;25. runde;OBOS-ligaen;Levanger;2 - 2;Åsane;TV 2 Sumo
27.09.2015;25. runde;OBOS-ligaen;Hødd;1 - 1;Ranheim;TV 2 Sumo
27.09.2015;25. runde;OBOS-ligaen;Sandnes Ulf;1 - 0;Hønefoss;TV 2 Sumo
27.09.2015;25. runde;OBOS-ligaen;Bærum;5 - 2;Nest-Sotra;TV 2 Sumo
27.09.2015;25. runde;OBOS-ligaen;Follo;2 - 3;Fredrikstad;TV 2 Sumo
27.09.2015;25. runde;OBOS-ligaen;Jerv;0 - 1;Kristiansund BK;TV 2 Sumo
27.09.2015;25. runde;OBOS-ligaen;Levanger;2 - 2;Åsane;TV 2 Sumo
27.09.2015;25. runde;OBOS-ligaen;Hødd;1 - 1;Ranheim;TV 2 Sumo
27.09.2015;25. runde;OBOS-ligaen;Sandnes Ulf;1 - 0;Hønefoss;TV 2 Sumo
27.09.2015;6. runde;Serie A;Genoa;1 - 0;Milan;
27.09.2015;6. runde;Serie A;Bologna;1 - 2;Udinese;
27.09.2015;6. runde;Serie A;Sassuolo;1 - 1;Chievo;
27.09.2015;6. runde;Serie A;Torino;2 - 1;Palermo;
27.09.2015;6. runde;Serie A;Verona;1 - 2;Lazio;
27.09.2015;6. runde;Serie A;Inter;1 - 4;Fiorentina;
27.09.2015;7. runde;Bundesliga;Eintracht Frankfurt;1 - 1;Hertha;Eurosport 2
27.09.2015;7. runde;Bundesliga;Dortmund;2 - 2;Darmstadt;Eurosport 2
28.09.2015;7. runde;Premier League;West Bromwich;2 - 3;Everton;TV 2 Sport Premium
28.09.2015;25. runde;OBOS-ligaen;Brann;2 - 1;Bryne;TV 2 Zebra
28.09.2015;25. runde;OBOS-ligaen;Sogndal;3 - 2;Strømmen;C More Fotball
28.09.2015;25. runde;OBOS-ligaen;Brann;2 - 1;Bryne;TV 2 Zebra
28.09.2015;25. runde;OBOS-ligaen;Sogndal;3 - 2;Strømmen;C More Fotball
28.09.2015;6. runde;Serie A;Frosinone;2 - 0;Empoli;
28.09.2015;6. runde;Serie A;Atalanta;2 - 1;Sampdoria;
02.10.2015;26. runde;Tippeligaen;Bodø/Glimt;1 - 1;Vålerenga;TV 2 Zebra
02.10.2015;8. runde;Bundesliga;Darmstadt;2 - 3;Mainz;Eurosport 2
03.10.2015;26. runde;Tippeligaen;Sarpsborg 08;1 - 6;Strømsgodset;C More Fotball
03.10.2015;26. runde;Tippeligaen;Mjøndalen;1 - 4;Stabæk;C More Fotball
03.10.2015;8. runde;Premier League;Crystal Palace;2 - 0;West Bromwich;TV 2 Sport Premium
03.10.2015;8. runde;Premier League;Man. City;6 - 1;Newcastle;TV 2 Sport Premium
03.10.2015;8. runde;Premier League;Norwich;1 - 2;Leicester;Opptak SP kl. 21.30
03.10.2015;8. runde;Premier League;Aston Villa;0 - 1;Stoke;Opptak SP 2 kl. 20.30
03.10.2015;8. runde;Premier League;Bournemouth;1 - 1;Watford;Opptak SP 2 kl. 22.30
03.10.2015;8. runde;Premier League;Sunderland;2 - 2;West Ham;Opptak SP 3 kl. 20.30
03.10.2015;8. runde;Premier League;Chelsea;1 - 3;Southampton;TV 2 Sport Premium
03.10.2015;7. runde;Serie A;Carpi;2 - 1;Torino;
03.10.2015;7. runde;Serie A;Chievo;1 - 1;Verona;
03.10.2015;8. runde;Bundesliga;Mönchengladbach;2 - 0;Wolfsburg;Eurosport 2
03.10.2015;8. runde;Bundesliga;Hannover;1 - 0;Bremen;
03.10.2015;8. runde;Bundesliga;Hertha;3 - 0;Hamburg;
03.10.2015;8. runde;Bundesliga;Hoffenheim;2 - 2;Stuttgart;
03.10.2015;8. runde;Bundesliga;Ingolstadt;2 - 0;Eintracht Frankfurt;
04.10.2015;26. runde;Tippeligaen;Haugesund;1 - 2;Odd;C More Live
04.10.2015;26. runde;Tippeligaen;Viking;1 - 0;Lillestrøm;C More Fotball
04.10.2015;26. runde;Tippeligaen;Aalesund;2 - 1;Sandefjord;C More Live
04.10.2015;26. runde;Tippeligaen;Molde;4 - 0;Tromsø;C More Live 2
04.10.2015;26. runde;Tippeligaen;Start;0 - 4;Rosenborg;TV 2 Zebra
04.10.2015;8. runde;Premier League;Everton;1 - 1;Liverpool;TV 2 Sport Premium
04.10.2015;8. runde;Premier League;Arsenal;3 - 0;Man. United;TV 2 Sport Premium
04.10.2015;8. runde;Premier League;Swansea;2 - 2;Tottenham;TV 2 Sport Premium 2
04.10.2015;26. runde;OBOS-ligaen;Nest-Sotra;3 - 2;Hødd;TV 2 Sumo
04.10.2015;26. runde;OBOS-ligaen;Strømmen;0 - 3;Sandnes Ulf;TV 2 Sumo
04.10.2015;26. runde;OBOS-ligaen;Åsane;1 - 1;Sogndal;TV 2 Sumo
04.10.2015;26. runde;OBOS-ligaen;Kristiansund BK;0 - 1;Brann;C More Fotball
04.10.2015;26. runde;OBOS-ligaen;Bryne;1 - 2;Jerv;TV 2 Sumo
04.10.2015;26. runde;OBOS-ligaen;Hønefoss;2 - 1;Follo;TV 2 Sumo
04.10.2015;26. runde;OBOS-ligaen;Ranheim;3 - 2;Levanger;TV 2 Sumo
04.10.2015;26. runde;OBOS-ligaen;Nest-Sotra;3 - 2;Hødd;TV 2 Sumo
04.10.2015;26. runde;OBOS-ligaen;Strømmen;0 - 3;Sandnes Ulf;TV 2 Sumo
04.10.2015;26. runde;OBOS-ligaen;Åsane;1 - 1;Sogndal;TV 2 Sumo
04.10.2015;26. runde;OBOS-ligaen;Kristiansund BK;0 - 1;Brann;C More Fotball
04.10.2015;26. runde;OBOS-ligaen;Bryne;1 - 2;Jerv;TV 2 Sumo
04.10.2015;26. runde;OBOS-ligaen;Hønefoss;2 - 1;Follo;TV 2 Sumo
04.10.2015;26. runde;OBOS-ligaen;Ranheim;3 - 2;Levanger;TV 2 Sumo
04.10.2015;7. runde;Serie A;Empoli;1 - 0;Sassuolo;
04.10.2015;7. runde;Serie A;Palermo;2 - 4;Roma;
04.10.2015;7. runde;Serie A;Sampdoria;1 - 1;Inter;
04.10.2015;7. runde;Serie A;Udinese;1 - 1;Genoa;
04.10.2015;7. runde;Serie A;Juventus;3 - 1;Bologna;
04.10.2015;7. runde;Serie A;Lazio;2 - 0;Frosinone;
04.10.2015;7. runde;Serie A;Fiorentina;3 - 0;Atalanta;
04.10.2015;7. runde;Serie A;Milan;0 - 4;Napoli;
04.10.2015;8. runde;Bundesliga;Schalke;0 - 3;Köln;Eurosport 2
04.10.2015;8. runde;Bundesliga;Bayern;5 - 1;Dortmund;Eurosport 2
04.10.2015;8. runde;Bundesliga;Leverkusen;1 - 1;Augsburg;
05.10.2015;26. runde;OBOS-ligaen;Fredrikstad;3 - 3;Bærum;TV 2 Zebra
05.10.2015;26. runde;OBOS-ligaen;Fredrikstad;3 - 3;Bærum;TV 2 Zebra
11.10.2015;27. runde;OBOS-ligaen;Bærum;2 - 0;Sandnes Ulf;TV 2 Sumo
11.10.2015;27. runde;OBOS-ligaen;Follo;2 - 0;Åsane;TV 2 Sumo
11.10.2015;27. runde;OBOS-ligaen;Levanger;1 - 0;Bryne;TV 2 Sumo
11.10.2015;27. runde;OBOS-ligaen;Nest-Sotra;2 - 0;Strømmen;TV 2 Sumo
11.10.2015;27. runde;OBOS-ligaen;Bærum;2 - 0;Sandnes Ulf;TV 2 Sumo
11.10.2015;27. runde;OBOS-ligaen;Follo;2 - 0;Åsane;TV 2 Sumo
11.10.2015;27. runde;OBOS-ligaen;Levanger;1 - 0;Bryne;TV 2 Sumo
11.10.2015;27. runde;OBOS-ligaen;Nest-Sotra;2 - 0;Strømmen;TV 2 Sumo
14.10.2015;27. runde;OBOS-ligaen;Brann;2 - 0;Jerv;TV 2 Zebra
14.10.2015;27. runde;OBOS-ligaen;Hødd;0 - 1;Hønefoss;TV 2 Sumo
14.10.2015;27. runde;OBOS-ligaen;Ranheim;4 - 0;Fredrikstad;TV 2 Sumo
14.10.2015;27. runde;OBOS-ligaen;Brann;2 - 0;Jerv;TV 2 Zebra
14.10.2015;27. runde;OBOS-ligaen;Hødd;0 - 1;Hønefoss;TV 2 Sumo
14.10.2015;27. runde;OBOS-ligaen;Ranheim;4 - 0;Fredrikstad;TV 2 Sumo
16.10.2015;27. runde;Tippeligaen;Strømsgodset;2 - 1;Odd;TV 2 Zebra
16.10.2015;9. runde;Bundesliga;Mainz;0 - 2;Dortmund;Eurosport 2
17.10.2015;27. runde;Tippeligaen;Sandefjord;4 - 1;Start;C More Fotball
17.10.2015;27. runde;Tippeligaen;Stabæk;1 - 4;Aalesund;C More Fotball
17.10.2015;9. runde;Premier League;Tottenham;0 - 0;Liverpool;TV 2 Sport Premium
17.10.2015;9. runde;Premier League;Everton;0 - 3;Man. United;TV 2 Sport Premium
17.10.2015;9. runde;Premier League;Southampton;2 - 2;Leicester;Opptak SP kl. 21.30
17.10.2015;9. runde;Premier League;Chelsea;2 - 0;Aston Villa;Opptak SP 2 kl. 20.30
17.10.2015;9. runde;Premier League;Crystal Palace;1 - 3;West Ham;Opptak SP 2 kl. 22.30
17.10.2015;9. runde;Premier League;Man. City;5 - 1;Bournemouth;Opptak SP 3 kl. 20.30
17.10.2015;9. runde;Premier League;West Bromwich;1 - 0;Sunderland;Opptak SP 3 kl. 22.30
17.10.2015;9. runde;Premier League;Watford;0 - 3;Arsenal;TV 2 Sport Premium
17.10.2015;8. runde;Serie A;Roma;3 - 1;Empoli;Viasat Sport
17.10.2015;8. runde;Serie A;Torino;1 - 1;Milan;Viasat Sport
17.10.2015;9. runde;Bundesliga;Bremen;0 - 1;Bayern;Eurosport 2
17.10.2015;9. runde;Bundesliga;Augsburg;0 - 2;Darmstadt;
17.10.2015;9. runde;Bundesliga;Hamburg;0 - 0;Leverkusen;
17.10.2015;9. runde;Bundesliga;Schalke;2 - 1;Hertha;
17.10.2015;9. runde;Bundesliga;Wolfsburg;4 - 2;Hoffenheim;
17.10.2015;9. runde;Bundesliga;Eintracht Frankfurt;1 - 5;Mönchengladbach;Eurosport 2
18.10.2015;27. runde;Tippeligaen;Molde;3 - 1;Mjøndalen;C More Fotball
18.10.2015;27. runde;Tippeligaen;Rosenborg;1 - 1;Bodø/Glimt;C More Fotball
18.10.2015;27. runde;Tippeligaen;Vålerenga;3 - 1;Sarpsborg 08;C More Live
18.10.2015;27. runde;Tippeligaen;Lillestrøm;2 - 0;Haugesund;C More Live 2
18.10.2015;27. runde;Tippeligaen;Tromsø;3 - 1;Viking;TV 2 Zebra
18.10.2015;9. runde;Premier League;Newcastle;6 - 2;Norwich;TV 2 Sport Premium
18.10.2015;28. runde;OBOS-ligaen;Jerv;3 - 0;Nest-Sotra;TV 2 Sumo
18.10.2015;28. runde;OBOS-ligaen;Strømmen;2 - 4;Ranheim;TV 2 Sumo
18.10.2015;28. runde;OBOS-ligaen;Åsane;2 - 0;Kristiansund BK;TV 2 Sumo
18.10.2015;28. runde;OBOS-ligaen;Hønefoss;2 - 5;Sogndal;C More Live
18.10.2015;28. runde;OBOS-ligaen;Bryne;2 - 0;Follo;TV 2 Sumo
18.10.2015;28. runde;OBOS-ligaen;Fredrikstad;1 - 2;Hødd;TV 2 Sumo
18.10.2015;28. runde;OBOS-ligaen;Sandnes Ulf;2 - 3;Levanger;TV 2 Sumo
18.10.2015;28. runde;OBOS-ligaen;Jerv;3 - 0;Nest-Sotra;TV 2 Sumo
18.10.2015;28. runde;OBOS-ligaen;Strømmen;2 - 4;Ranheim;TV 2 Sumo
18.10.2015;28. runde;OBOS-ligaen;Åsane;2 - 0;Kristiansund BK;TV 2 Sumo
18.10.2015;28. runde;OBOS-ligaen;Hønefoss;2 - 5;Sogndal;C More Live
18.10.2015;28. runde;OBOS-ligaen;Bryne;2 - 0;Follo;TV 2 Sumo
18.10.2015;28. runde;OBOS-ligaen;Fredrikstad;1 - 2;Hødd;TV 2 Sumo
18.10.2015;28. runde;OBOS-ligaen;Sandnes Ulf;2 - 3;Levanger;TV 2 Sumo
18.10.2015;8. runde;Serie A;Bologna;0 - 1;Palermo;Viasat Sport
18.10.2015;8. runde;Serie A;Atalanta;3 - 0;Carpi;
18.10.2015;8. runde;Serie A;Frosinone;2 - 0;Sampdoria;
18.10.2015;8. runde;Serie A;Genoa;3 - 2;Chievo;
18.10.2015;8. runde;Serie A;Sassuolo;2 - 1;Lazio;
18.10.2015;8. runde;Serie A;Verona;1 - 1;Udinese;
18.10.2015;8. runde;Serie A;Napoli;2 - 1;Fiorentina;Viasat Sport
18.10.2015;8. runde;Serie A;Inter;0 - 0;Juventus;Viasat Fotball
18.10.2015;9. runde;Bundesliga;Köln;0 - 1;Hannover;Eurosport 2
18.10.2015;9. runde;Bundesliga;Stuttgart;1 - 0;Ingolstadt;Eurosport 2
19.10.2015;9. runde;Premier League;Swansea;0 - 1;Stoke;TV 2 Sport Premium
19.10.2015;28. runde;OBOS-ligaen;Brann;2 - 2;Bærum;TV 2 Zebra
19.10.2015;28. runde;OBOS-ligaen;Brann;2 - 2;Bærum;TV 2 Zebra
21.10.2015;27. runde;OBOS-ligaen;Sogndal;4 - 3;Kristiansund BK;C More Fotball
21.10.2015;27. runde;OBOS-ligaen;Sogndal;4 - 3;Kristiansund BK;C More Fotball
23.10.2015;28. runde;Tippeligaen;Start;1 - 1;Mjøndalen;TV 2 Zebra
23.10.2015;10. runde;Bundesliga;Hoffenheim;0 - 1;Hamburg;Eurosport 2
24.10.2015;28. runde;Tippeligaen;Sarpsborg 08;1 - 0;Tromsø;C More Fotball
24.10.2015;28. runde;Tippeligaen;Haugesund;0 - 1;Vålerenga;C More Fotball
24.10.2015;10. runde;Premier League;West Ham;2 - 1;Chelsea;TV 2 Sport Premium
24.10.2015;10. runde;Premier League;Stoke;0 - 2;Watford;Opptak SP kl. 21.30
24.10.2015;10. runde;Premier League;Aston Villa;1 - 2;Swansea;Opptak SP 2 kl. 20.30
24.10.2015;10. runde;Premier League;Norwich;0 - 1;West Bromwich;Opptak SP 2 kl. 22.30
24.10.2015;10. runde;Premier League;Leicester;1 - 0;Crystal Palace;Opptak SP 3 kl. 20.30
24.10.2015;10. runde;Premier League;Arsenal;2 - 1;Everton;TV 2 Sport Premium
24.10.2015;9. runde;Serie A;Empoli;2 - 0;Genoa;Viasat Sport
24.10.2015;9. runde;Serie A;Carpi;1 - 2;Bologna;Viasat Sport
24.10.2015;9. runde;Serie A;Palermo;1 - 1;Inter;Viasat Sport
24.10.2015;10. runde;Bundesliga;Bayern;4 - 0;Köln;Eurosport 2
24.10.2015;10. runde;Bundesliga;Darmstadt;0 - 1;Wolfsburg;
24.10.2015;10. runde;Bundesliga;Hannover;1 - 2;Eintracht Frankfurt;
24.10.2015;10. runde;Bundesliga;Leverkusen;4 - 3;Stuttgart;
24.10.2015;10. runde;Bundesliga;Mainz;1 - 3;Bremen;
24.10.2015;10. runde;Bundesliga;Ingolstadt;0 - 1;Hertha;Eurosport 2
25.10.2015;28. runde;Tippeligaen;Aalesund;1 - 2;Molde;C More Fotball
25.10.2015;28. runde;Tippeligaen;Strømsgodset;3 - 3;Rosenborg;C More Fotball
25.10.2015;28. runde;Tippeligaen;Bodø/Glimt;0 - 3;Lillestrøm;C More Live
25.10.2015;28. runde;Tippeligaen;Odd;4 - 3;Sandefjord;C More Live 2
25.10.2015;28. runde;Tippeligaen;Viking;2 - 1;Stabæk;TV 2 Zebra
25.10.2015;10. runde;Premier League;Sunderland;3 - 0;Newcastle;TV 2 Sport Premium
25.10.2015;10. runde;Premier League;Man. United;0 - 0;Man. City;TV 2 Sport Premium
25.10.2015;10. runde;Premier League;Bournemouth;1 - 5;Tottenham;TV 2 Sport Premium 2
25.10.2015;10. runde;Premier League;Liverpool;1 - 1;Southampton;TV 2 Sport Premium
25.10.2015;29. runde;OBOS-ligaen;Åsane;3 - 3;Fredrikstad;TV 2 Zebra
25.10.2015;29. runde;OBOS-ligaen;Bærum;0 - 4;Jerv;TV 2 Sumo
25.10.2015;29. runde;OBOS-ligaen;Follo;1 - 2;Levanger;TV 2 Sumo
25.10.2015;29. runde;OBOS-ligaen;Hødd;1 - 1;Strømmen;TV 2 Sumo
25.10.2015;29. runde;OBOS-ligaen;Kristiansund BK;1 - 0;Hønefoss;TV 2 Sumo
25.10.2015;29. runde;OBOS-ligaen;Ranheim;4 - 1;Bryne;TV 2 Sumo
25.10.2015;29. runde;OBOS-ligaen;Sogndal;2 - 1;Sandnes Ulf;TV 2 Sumo
25.10.2015;29. runde;OBOS-ligaen;Nest-Sotra;2 - 1;Brann;C More Fotball
25.10.2015;29. runde;OBOS-ligaen;Åsane;3 - 3;Fredrikstad;TV 2 Zebra
25.10.2015;29. runde;OBOS-ligaen;Bærum;0 - 4;Jerv;TV 2 Sumo
25.10.2015;29. runde;OBOS-ligaen;Follo;1 - 2;Levanger;TV 2 Sumo
25.10.2015;29. runde;OBOS-ligaen;Hødd;1 - 1;Strømmen;TV 2 Sumo
25.10.2015;29. runde;OBOS-ligaen;Kristiansund BK;1 - 0;Hønefoss;TV 2 Sumo
25.10.2015;29. runde;OBOS-ligaen;Ranheim;4 - 1;Bryne;TV 2 Sumo
25.10.2015;29. runde;OBOS-ligaen;Sogndal;2 - 1;Sandnes Ulf;TV 2 Sumo
25.10.2015;29. runde;OBOS-ligaen;Nest-Sotra;2 - 1;Brann;C More Fotball
25.10.2015;9. runde;Serie A;Sampdoria;4 - 1;Verona;Viasat Sport
25.10.2015;9. runde;Serie A;Juventus;2 - 0;Atalanta;Viasat Sport
25.10.2015;9. runde;Serie A;Milan;2 - 1;Sassuolo;
25.10.2015;9. runde;Serie A;Udinese;1 - 0;Frosinone;
25.10.2015;9. runde;Serie A;Fiorentina;1 - 2;Roma;Viasat Sport
25.10.2015;9. runde;Serie A;Lazio;3 - 0;Torino;
25.10.2015;9. runde;Serie A;Chievo;0 - 1;Napoli;Viasat Sport
25.10.2015;10. runde;Bundesliga;Dortmund;5 - 1;Augsburg;Eurosport 2
25.10.2015;10. runde;Bundesliga;Mönchengladbach;3 - 1;Schalke;Eurosport 2
27.10.2015;10. runde;Serie A;Bologna;0 - 1;Inter;Viasat Sport
28.10.2015;10. runde;Serie A;Sassuolo;1 - 0;Juventus;Viasat Sport
28.10.2015;10. runde;Serie A;Atalanta;2 - 1;Lazio;
28.10.2015;10. runde;Serie A;Frosinone;2 - 1;Carpi;
28.10.2015;10. runde;Serie A;Milan;1 - 0;Chievo;
28.10.2015;10. runde;Serie A;Napoli;2 - 0;Palermo;
28.10.2015;10. runde;Serie A;Roma;3 - 1;Udinese;
28.10.2015;10. runde;Serie A;Torino;3 - 3;Genoa;
28.10.2015;10. runde;Serie A;Verona;0 - 2;Fiorentina;
29.10.2015;10. runde;Serie A;Sampdoria;1 - 1;Empoli;Viasat Fotball
