Rank;Article Name;Shares;Date;URL
40; Uteliggeren falt om på gata. Jeg ble sittende med våte øyne da jeg så hvem som valgte å... Jan 19;34,944;19.01.2015;http://www.smud.no/mennesker/uteliggeren-falt-om-pa-gata-du-kommer-til-fole-skam-nar-du-ser-hvor-mange-som-stoppet-hjelpe/
41; Politimannens enkle lek med syrisk jente går verden rundt Sep 11;34,857;11.09.2015;http://www.dagbladet.no/2015/09/11/nyheter/flyktninger/danmark/41047851/
42; Breivik vil få lov til å sulte seg i hjel hvis han ønsker det Oct 1;33,412;01.10.2015;http://www.dagbladet.no/2015/10/01/nyheter/innenriks/anders_behring_breivik/41297087/
43; To personer kysser bak en røntgenskjerm. Når de kommer frem blir publikum SJOKKERTE! Mar 4;33,272;04.03.2015;http://www.viralevideoer.com/2015/03/04/to-personer-kysser-bak-en-rontgenskjerm-nar-de-kommer-frem-blir-publikum-sjokkerte/
44; Sigrid Bonde Tusvik: Drittvoksen May 27;33,266;27.05.2015;http://stellamagasinet.no/bra-damer/sigrid-bonde-tusvik-drittvoksen
45; Slik får du sommerkroppen! Jun 10;33,05;10.06.2015;http://www.p4.no/story.aspx?id=616907
46; Marit Bjørgen er gravid Jun 23;32,916;23.06.2015;http://www.nrk.no/sport/marit-bjorgen-er-gravid-1.12423608
47; Erna Solberg, jeg kveles av skam her. Kveles. Apr 19;32,912;19.04.2015;http://nordnorskdebatt.no/article/erna-solberg-kveles-skam-her
48; 18-åring med Downs har fått modellkontrakt Jul 10;32,691;10.07.2015;http://www.p4.no/story.aspx?id=620900
49; Derfor er jeg imot kirkelig vielse av homofile Aug 11;32,632;11.08.2015;http://www.aftenposten.no/meninger/sid/Derfor-er-jeg-imot-kirkelig-vielse-av-homofile-8121413.html
50; Til Mullah Krekar! Feb 25;32,614;25.02.2015;http://akhtarchaudhry.blogg.no/1424903030_til_mullah_krekar.html
